invoice_number,job_card_number,description,quantity,unit_price,amount,unit_cost,gst,hours_worked,note,job_card_note,item_code,gst_free,product_type,bundle_parent_item_code,is_bom_parent,estimated_hours,ordering,subtotal,cost_including_tax,dont_update_quantity,requires_serial_number,customer_source,state,suburb,postcode,make,model,build_date,body_type,product_description,brand,product_group_name,product_supplier
,50102,"Reskin Awning & Bimini using Aquatica white hooding, New clears, front screen with 2 roll ups & 2 side clears with roll ups using Regalite sheet clear.",1.0,11660.0,12826.0,0.0,1166.0,,,,CON-GEN,,W,CON-GEN,,,0.0,11660.0,0.0,false,,,NSW,Balmoral ,"",,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
,50104,"Recover cushions, backrests and panels. Approx. 26 pieces in total",80.0,120.0,10560.0,0.0,960.0,,,,LAB,,J,LAB,,,0.0,9600.0,0.0,false,,,NSW,Tea Gardens ,2324,,,,,Shop Labour Rate,,,
,50104,"Capri Vinyl, webbing and consumables",1.0,5400.0,5940.0,0.0,540.0,,,,CON-GEN,,W,CON-GEN,,,1000000.0,5400.0,0.0,false,,,NSW,Tea Gardens ,2324,,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
,50107,Reskin Bimini & Recover bench seat,1.0,2150.0,2365.0,0.0,215.0,,,,CON-GEN,,W,CON-GEN,,,0.0,2150.0,0.0,false,,,NSW,Quorrbolong,"",,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
,50115,"Outdoor Bench Seat Cushions, outdoor reticulated foam 50mm - Customer Supplied Fabric",1.0,2500.0,2750.0,0.0,250.0,,,,LAB,,J,LAB,,,0.0,2500.0,0.0,false,,,NSW,Mayfield,2291,,,,,Shop Labour Rate,,,
,50119,Helm/table cover & 5 off hatch covers,1.0,1100.0,1210.0,0.0,110.0,,,,LAB,,J,LAB,,,0.0,1100.0,0.0,false,,,NSW,Belmont ,"",,,,,Shop Labour Rate,,,
,50124,Sunbrella Fabric @ $80pm - original Vinyl Price of $600,1.0,360.0,396.0,0.0,36.0,,,,SUN-HT-150,,S,SUN-HT-150,,,1000000.0,360.0,0.0,false,,,NSW,Fassifern ,2283,,,,,Sunbrella Waterproof Canvas 155cm,Sunbrella,,Nolan Group
,50124,"Recover lounge in sunbrella. in + out collection, colour is ""canvas coal"", with mesh backs on backrests, bases on boards",1.0,6000.0,6600.0,0.0,600.0,,,,LAB,,J,LAB,,,0.0,6000.0,0.0,false,,,NSW,Fassifern ,2283,,,,,Shop Labour Rate,,,
,50124,Table Mattress,1.0,200.0,220.0,0.0,20.0,,,,LAB,,J,LAB,,,2000000.0,200.0,0.0,false,,,NSW,Fassifern ,2283,,,,,Shop Labour Rate,,,
,50126,"Old board dropped off to workshop, replace board with 18mm marine ply. Extra cost if thicker board is required.",1.0,1050.0,1155.0,0.0,105.0,,,,LAB,,J,LAB,,,0.0,1050.0,0.0,false,,,NSW,Wangi,2267,,,,,Shop Labour Rate,,,
,50126,Replacement (reticulated) foam,1.0,340.0,374.0,0.0,34.0,,,,CON-GEN,,W,CON-GEN,,,1000000.0,340.0,0.0,false,,,NSW,Wangi,2267,,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
,50126,Re-trim Rear Bench Seat (new Vinyl & Exisiting Foam),1.0,840.0,924.0,0.0,84.0,,,,LAB,,J,LAB,,,2000000.0,840.0,0.0,false,,,NSW,Wangi,2267,,,,,Shop Labour Rate,,,
,50130,Materials,1.0,1146.0,1260.6,0.0,114.6,,,,CON-GEN,,W,CON-GEN,,,1000000.0,1146.0,0.0,false,,,"",Marmong,"",,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
,50130,Pattern up and make side & aft covers. Replace shock cord buttons to stainless steel,20.0,125.0,2750.0,0.0,250.0,,,,LAB,,J,LAB,,,0.0,2500.0,0.0,false,,,"",Marmong,"",,,,,Shop Labour Rate,,,
,50131,Materials,1.0,845.0,929.5,0.0,84.5,,,,CON-GEN,,W,CON-GEN,,,1000000.0,845.0,0.0,false,,,NSW,Bolton point,2283,,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
,50131,"Rear covers, no clears with 3 zips. Using existing covers as a pattern.",12.0,125.0,1650.0,0.0,150.0,,,,LAB,,J,LAB,,,0.0,1500.0,0.0,false,,,NSW,Bolton point,2283,,,,,Shop Labour Rate,,,
,50135,"Measure, Make and Fit Bimini",1.0,1500.0,1650.0,0.0,150.0,,,,LAB,,J,LAB,,,0.0,1500.0,0.0,false,,,NSW,Quorrbolong,"",,,,,Shop Labour Rate,,,
,50135,Recover Bench Seat,1.0,650.0,715.0,0.0,65.0,,,,LAB,,J,LAB,,,1000000.0,650.0,0.0,false,,,NSW,Quorrbolong,"",,,,,Shop Labour Rate,,,
,50135,"New clears, zip to Bimini front and 2 sides with zips in 2 front corners. 2 smiley zips in front screen",1.0,2030.0,2233.0,0.0,203.0,,,,LAB,,J,LAB,,,2000000.0,2030.0,0.0,false,,,NSW,Quorrbolong,"",,,,,Shop Labour Rate,,,
,50136,3 x Marina Visit Charge (Charged by the Marina),1.0,150.0,165.0,0.0,15.0,,,,CON-GEN,,W,CON-GEN,,,2000000.0,150.0,0.0,false,,,"",Marmong point ,"",,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
,50136,"Measure, make and fit Front & Side Screens + 2x Aft Side Screens and Back Screen.",32.0,125.0,4400.0,0.0,400.0,,,,LAB,,J,LAB,,,0.0,4000.0,0.0,false,,,"",Marmong point ,"",,,,,Shop Labour Rate,,,
,50136,Soltis 92% Block Out Mesh & Sundries,1.0,1476.0,1623.6,30.0,147.6,,,,MESH,,S,MESH,,,1000000.0,1476.0,33.0,false,,,"",Marmong point ,"",,,,,,,,Nolan Group
,50137,Materials,1.0,6400.0,7040.0,0.0,640.0,,,,CON-GEN,,W,CON-GEN,,,1000000.0,6400.0,0.0,false,,,NSW,Marmong point ,"",,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
,50137,"Top made from weatherMAX Greyy, lashed on.  Rear meshes made from solstice 82.  Front clears right around bow & over rails.  Canvas covers same as clears to cover clears.",64.0,125.0,8800.0,0.0,800.0,,,,LAB,,J,LAB,,,0.0,8000.0,0.0,false,,,NSW,Marmong point ,"",,,,,Shop Labour Rate,,,
,50139,"Recover seats/cushions. Excluding v-berth cushions, delete piping. All in white vinyl, centre of backrests in carbon pattern vinyl. Repair foam in rear backrest. Please bring front seat to match colour of white vinyl",1.0,4544.0,4998.4,0.0,454.4,,,,LAB,,J,LAB,,,0.0,4544.0,0.0,false,,,NSW,Kitchener,2325,,,,,Shop Labour Rate,,,
,50142,"WeatherMax & Materials - (Template Material, Buckles, Webbing etc)",1.0,1540.0,1694.0,0.0,154.0,,,,CON-GEN,,W,CON-GEN,,,1000000.0,1540.0,0.0,false,,,NSW,Wellington point,"",,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
,50142,Measure & Supply Deck cover made from weatherMAX. This price is including socks over winches and grinders. Mounting with shock cord and hooks around stanchions.,40.0,125.0,5500.0,10000.0,500.0,200.0,,,LAB,,J,LAB,,,0.0,5000.0,10000.0,false,,,NSW,Wellington point,"",,,,,Shop Labour Rate,,,
,50158,"All over cover, over boom All over cover, over boom fastened with side release buckles under the sail, Down to top lifeline, with shock cord and hooks. Made in grey WeatherMax.",1.0,5290.0,5819.0,0.0,529.0,,,,LAB,,J,LAB,,,0.0,5290.0,0.0,false,,,NSW,Kahibah,2290,,,,,Shop Labour Rate,,,
,50163,"Final payment for quote #50102  - Club Marine claim #N/MC03068 B29 - Belinda & Kale Ward - Reskin Awning & Bimini using Aquatica white hooding, New clears, front screen with 2 roll ups & 2 side clears with roll ups using Regalite sheet clear.",1.0,11660.0,12826.0,0.0,1166.0,,,,LAB,,J,LAB,,,0.0,11660.0,0.0,false,,,NSW,", Sydney",2000,,,,,Shop Labour Rate,,,
,50173,"All discussed clears replaced, dodger, sides and back. Mounting with sail track, some fly screen panels incorporated.",1.0,7500.0,8250.0,0.0,750.0,,,,LAB,,J,LAB,,,0.0,7500.0,0.0,false,,,NSW,Newcastle ,"",,,,,Shop Labour Rate,,,
,50179,50% Remainder -  Helm seat covers x 2 (Back and front 4 covers),1.0,300.0,330.0,0.0,30.0,,,,LAB,,J,LAB,,,1000000.0,300.0,0.0,false,,,NSW,Marmong ,"",,,,,Shop Labour Rate,,,
,50179,50% Remainder -  Window covers front & 2 sides in Solstice 86 black Mesh,1.0,800.0,880.0,0.0,80.0,,,,LAB,,J,LAB,,,2000000.0,800.0,0.0,false,,,NSW,Marmong ,"",,,,,Shop Labour Rate,,,
,50179,"50% Remainder - Front and rear clear with u shape windows, using RollGlass plus. Change fittings on rear rail to accommodate new clear. Remove side clears for new zips. New Helm cover and recover 4 cushions in white vinyl with mesh backs.",1.0,2750.0,3025.0,0.0,275.0,,,,LAB,,J,LAB,,,0.0,2750.0,0.0,false,,,NSW,Marmong ,"",,,,,Shop Labour Rate,,,
,50183,"3 x Tonneaus for Hilux Dual Cab N90 utes with factory headboard. No drill, permanent clamp on, low profile design, customised to fit around racks. Made and fitted, drive away.",1.0,4000.0,4400.0,0.0,400.0,,,,LAB,,J,LAB,,,0.0,4000.0,0.0,false,,,NSW,Cardiff,2285,,,,,Shop Labour Rate,,,
,50187,"Pattern & Make  - WeatherMax ""All Over"" cover, from booms to lifelines, for ""Freyja"" the sailing ketch.",1.0,5290.0,5819.0,0.0,529.0,,,,LAB,,J,LAB,,,0.0,5290.0,0.0,false,,,NSW,Newcastle ,2300,,,,,Shop Labour Rate,,,
,50189,"Replace all backing foam and secure all loose/hanging vinyl in forward cabin and cockpit, clean vinyl from previous repairs (if possible)",32.0,125.0,4400.0,0.0,400.0,,,,LAB,,J,LAB,,,0.0,4000.0,0.0,false,,,NSW,Wangi Wangi,2267,,,,,Shop Labour Rate,,,
,50189,Foam & General Consumables approx 5m of 6mm / 12mm backed foam,1.0,110.0,121.0,0.0,11.0,,,,CON-GEN,,W,CON-GEN,,,1000000.0,110.0,0.0,false,,,NSW,Wangi Wangi,2267,,,,,"General Consumables - (Template Material, Buckles, Webbing etc)",,,
,50199,"Hot Head Flybridge Clears, design, measure, make and fit. - Please see notes for details.",1.0,11300.0,12430.0,0.0,1130.0,,,,LAB,,J,LAB,,,0.0,11300.0,0.0,false,,,NSW,Glenmore Park ,"",,,,,Shop Labour Rate,,,
,50200,Measure make and fit boom bag for North shore 31. Made with sunbrella canvas,1.0,2795.0,3074.5,0.0,279.5,,,,LAB,,J,LAB,,,0.0,2795.0,0.0,false,,,"","","",,,,,Shop Labour Rate,,,
,50205,"Boom tent, fastened to boom with centre mount track and bolt rope (see details in notes).",1.0,4540.0,4994.0,0.0,454.0,,,,LAB,,J,LAB,,,0.0,4540.0,0.0,false,,,NSW,Bellevue Hill ,2023,,,,,Shop Labour Rate,,,
,50206,New side clears made from Regalight sheet clear  2 sheets required.To fit on the outside using existing track & stayput fittings.,1.0,2490.0,2739.0,0.0,249.0,,,,LAB,,J,LAB,,,1000000.0,2490.0,0.0,false,,,NSW,Kirribilli,2061,,,,,Shop Labour Rate,,,
,50206,Fit existing mesh sides on inside with 3 piece track at the top and press studs bottom and sides.,1.0,560.0,616.0,0.0,56.0,,,,LAB,,J,LAB,,,0.0,560.0,0.0,false,,,NSW,Kirribilli,2061,,,,,Shop Labour Rate,,,
,50206,Flybridge Cover modifications as discussed over email and confirmed via telephone 27/07/26,1.0,2500.0,2750.0,0.0,250.0,,,,LAB,,J,LAB,,,2000000.0,2500.0,0.0,false,,,NSW,Kirribilli,2061,,,,,Shop Labour Rate,,,
,50218,3 bow bimini made from stainless steel. Cover made from marine canvas. Fitted to boat. Need to confirm Colour of canvas.,1.0,3700.0,4070.0,0.0,370.0,,,,LAB,,J,LAB,,,0.0,3700.0,0.0,,,,NSW,Kilaben Bay,2283,,,,,Shop Labour Rate,,,
